event,date,url
UFC 113: Machida vs Shogun 2,2010-05-08,https://www.bestfightodds.com/events/ufc-113-machida-vs-shogun-ii-247
Strikeforce - Heavy Artillery,2010-05-15,https://www.bestfightodds.com/events/strikeforce-st-louis-heavy-artillery-261
Strikeforce Challengers 8,2010-05-21,https://www.bestfightodds.com/events/strikeforce-challengers-viii-274
DREAM 14,2010-05-29,https://www.bestfightodds.com/events/dream-14-279
UFC 114: Rampage vs Evans,2010-05-29,https://www.bestfightodds.com/events/ufc-114-jackson-vs-evans-256
UFC 115: Liddell vs Franklin,2010-06-12,https://www.bestfightodds.com/events/ufc-115-liddell-vs-franklin-255
Strikeforce - Los Angeles,2010-06-16,https://www.bestfightodds.com/events/strikeforce-los-angeles-282
The Ultimate Fighter: Team Liddell vs Team Ortiz Finale,2010-06-19,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-11-finale-262
WEC 49: Varner vs. Shalorus,2010-06-20,https://www.bestfightodds.com/events/wec-49-varner-vs-shalorus-264
Strikeforce - Fedor vs. Werdum,2010-06-26,https://www.bestfightodds.com/events/strikeforce-fedor-vs-werdum-280
UFC 116: Lesnar vs Carwin,2010-07-03,https://www.bestfightodds.com/events/ufc-116-lesnar-vs-carwin-265
DREAM 15,2010-07-10,https://www.bestfightodds.com/events/dream-15-273
Impact FC 1,2010-07-10,
Strikeforce Challengers 9,2010-07-23,https://www.bestfightodds.com/events/strikeforce-challengers-9-298
UFC Live: Jones vs Matyushenko,2010-08-01,https://www.bestfightodds.com/events/ufc-on-versus-2-281
UFC 117: Silva vs Sonnen,2010-08-07,https://www.bestfightodds.com/events/ufc-117-silva-vs-sonnen-276
Strikeforce Challengers 10,2010-08-13,https://www.bestfightodds.com/events/strikeforce-challengers-10-307
WEC 50: Cruz vs. Benavidez,2010-08-18,https://www.bestfightodds.com/events/wec-50-cruz-vs-benavidez-299
Strikeforce - Houston,2010-08-21,https://www.bestfightodds.com/events/strikeforce-houston-304
UFC 118: Edgar vs Penn 2,2010-08-28,https://www.bestfightodds.com/events/ufc-118-edgar-vs-penn-2-278
UFC Fight Night: Marquardt vs Palhares,2010-09-15,https://www.bestfightodds.com/events/ufc-fight-night-22-marquardt-vs-palhares-295
DREAM 16,2010-09-25,https://www.bestfightodds.com/events/dream-16-269
UFC 119: Mir vs Cro Cop,2010-09-25,https://www.bestfightodds.com/events/ufc-119-mir-vs-cro-cop-296
WEC 51: Aldo vs. Gamburyan,2010-09-30,https://www.bestfightodds.com/events/wec-51-aldo-vs-gamburyan-306
Strikeforce - Diaz vs. Noons 2,2010-10-09,https://www.bestfightodds.com/events/strikeforce-diaz-vs-noons-ii-324
UFC 120: Bisping vs Akiyama,2010-10-16,https://www.bestfightodds.com/events/ufc-120-bisping-vs-akiyama-294
Strikeforce Challengers 11,2010-10-22,https://www.bestfightodds.com/events/strikeforce-challengers-11-333
UFC 121: Lesnar vs Velasquez,2010-10-23,https://www.bestfightodds.com/events/ufc-121-lesnar-vs-velasquez-308
DEEP 50 - Impact,2010-10-24,
WEC 52: Faber vs. Mizugaki,2010-11-11,https://www.bestfightodds.com/events/wec-52-faber-vs-mizugaki-329
UFC 122: Marquardt vs Okami,2010-11-13,https://www.bestfightodds.com/events/ufc-122-marquardt-vs-okami-323
Strikeforce Challengers 12,2010-11-19,https://www.bestfightodds.com/events/strikeforce-challengers-12-341
UFC 123: Rampage vs Machida,2010-11-20,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317
Strikeforce - Henderson vs. Babalu,2010-12-04,https://www.bestfightodds.com/events/strikeforce-henderson-vs-babalu-335
The Ultimate Fighter: Team GSP vs Team Koscheck Finale,2010-12-04,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
UFC 124: St-Pierre vs Koscheck 2,2010-12-11,https://www.bestfightodds.com/events/ufc-124-st-pierre-vs-koscheck-ii-313
WEC 53: Henderson vs. Pettis,2010-12-16,https://www.bestfightodds.com/events/wec-53-334
Dynamite!! 2010,2010-12-31,https://www.bestfightodds.com/events/dream-dynamite-2010-347
UFC 125: Resolution,2011-01-01,https://www.bestfightodds.com/events/ufc-125-resolution-332
Strikeforce Challengers 13,2011-01-07,https://www.bestfightodds.com/events/strikeforce-challengers-13-349
UFC Fight Night: Fight for the Troops 2,2011-01-22,https://www.bestfightodds.com/events/ufc-fight-night-23-fight-for-the-troops-ii-342
Strikeforce - Diaz vs. Cyborg,2011-01-29,https://www.bestfightodds.com/events/strikeforce-diaz-vs-cyborg-353
UFC 126: Silva vs Belfort,2011-02-05,https://www.bestfightodds.com/events/ufc-126-silva-vs-belfort-338
Strikeforce - Fedor vs. Silva,2011-02-12,https://www.bestfightodds.com/events/strikeforce-fedor-vs-silva-356
Strikeforce Challengers 14,2011-02-18,https://www.bestfightodds.com/events/strikeforce-challengers-14-359
UFC 127: Penn vs Fitch,2011-02-26,https://www.bestfightodds.com/events/ufc-127-penn-vs-fitch-344
UFC Live: Sanchez vs Kampmann,2011-03-03,https://www.bestfightodds.com/events/ufc-on-versus-3-sanchez-vs-kampmann-351
Strikeforce - Feijao vs. Henderson,2011-03-05,https://www.bestfightodds.com/events/strikeforce-feijao-vs-henderson-361
UFC 128: Shogun vs Jones,2011-03-19,https://www.bestfightodds.com/events/ufc-128-shogun-vs-jones-346
UFC Fight Night: Nogueira vs Davis,2011-03-26,https://www.bestfightodds.com/events/ufc-fight-night-24-nogueira-vs-davis-354
Strikeforce Challengers 15,2011-04-01,https://www.bestfightodds.com/events/strikeforce-challengers-15-wilcox-vs-damm-376
Strikeforce - Diaz vs. Daley,2011-04-09,https://www.bestfightodds.com/events/strikeforce-diaz-vs-daley-374
UFC 129: St-Pierre vs Shields,2011-04-30,https://www.bestfightodds.com/events/ufc-129-st-pierre-vs-shields-352
UFC 130: Rampage vs Hamill,2011-05-28,https://www.bestfightodds.com/events/ufc-130-rampage-vs-hamill-357
DREAM - Fight for Japan,2011-05-29,https://www.bestfightodds.com/events/dream-fight-for-japan-393
The Ultimate Fighter: Team Lesnar vs Team dos Santos Finale,2011-06-04,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
UFC 131: Dos Santos vs Carwin,2011-06-11,https://www.bestfightodds.com/events/ufc-131-carwin-vs-dos-santos-358
Strikeforce - Overeem vs. Werdum,2011-06-18,https://www.bestfightodds.com/events/strikeforce-overeem-vs-werdum-375
Strikeforce Challengers 16,2011-06-24,https://www.bestfightodds.com/events/strikeforce-challengers-16-fodor-vs-terry-400
UFC Live: Kongo vs Barry,2011-06-26,https://www.bestfightodds.com/events/ufc-on-versus-4-379
UFC 132: Cruz vs Faber,2011-07-02,https://www.bestfightodds.com/events/ufc-132-cruz-vs-faber-381
DREAM - Japan GP Final,2011-07-16,https://www.bestfightodds.com/events/dream-17-409
Strikeforce Challengers 17,2011-07-22,https://www.bestfightodds.com/events/strikeforce-challengers-17-voelker-vs-bowling-ii-408
Titan Fighting Championship 19,2011-07-29,https://www.bestfightodds.com/events/titan-fighting-championship-19-427
Strikeforce - Fedor vs. Henderson,2011-07-30,https://www.bestfightodds.com/events/strikeforce-fedor-vs-henderson-388
UFC 133: Evans vs Ortiz 2,2011-08-06,https://www.bestfightodds.com/events/ufc-133-evans-vs-ortiz-2-390
Strikeforce Challengers 18,2011-08-12,https://www.bestfightodds.com/events/strikeforce-challengers-18-420
UFC Live: Hardy vs Lytle,2011-08-14,https://www.bestfightodds.com/events/ufc-on-versus-5-hardy-vs-lytle-399
ProElite 1: Arlovski vs. Lopez,2011-08-27,
UFC 134: Silva vs Okami,2011-08-27,https://www.bestfightodds.com/events/ufc-134-silva-vs-okami-389
Strikeforce - Barnett vs. Kharitonov,2011-09-10,https://www.bestfightodds.com/events/strikeforce-grand-prix-barnett-vs-kharitonov-411
UFC Fight Night: Shields vs Ellenberger,2011-09-17,https://www.bestfightodds.com/events/ufc-fight-night-25-battle-on-the-bayou-406
Strikeforce Challengers 19,2011-09-23,https://www.bestfightodds.com/events/strikeforce-challengers-19-larkin-vs-rossborough-438
DREAM 17,2011-09-24,https://www.bestfightodds.com/events/dream-17-world-bantamweight-gp-432
UFC 135: Jones vs Rampage,2011-09-24,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
UFC Live: Cruz vs Johnson,2011-10-01,https://www.bestfightodds.com/events/ufc-on-versus-6-cruz-vs-johnson-429
UFC 136: Edgar vs Maynard 3,2011-10-08,https://www.bestfightodds.com/events/ufc-136-edgar-vs-maynard-3-423
UFC 137: Penn vs Diaz,2011-10-29,https://www.bestfightodds.com/events/ufc-137-penn-vs-diaz-410
UFC 138: Leben vs Munoz,2011-11-05,https://www.bestfightodds.com/events/ufc-138-leben-vs-munoz-430
UFC on FOX: Velasquez vs Dos Santos,2011-11-12,https://www.bestfightodds.com/events/ufc-on-fox-1-velasquez-vs-dos-santos-442
Strikeforce Challengers 20,2011-11-18,https://www.bestfightodds.com/events/strikeforce-challengers-20-britt-vs-sayers-449
UFC 139: Shogun vs Henderson,2011-11-19,https://www.bestfightodds.com/events/ufc-139-shogun-vs-henderson-424
M-1 Global - Fedor vs. Monson,2011-11-20,
The Ultimate Fighter: Team Bisping vs Team Miller Finale,2011-12-03,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-14-finale-469
UFC 140: Jones vs Machida,2011-12-10,https://www.bestfightodds.com/events/ufc-140-jones-vs-machida-451
Strikeforce - Melendez vs. Masvidal,2011-12-17,https://www.bestfightodds.com/events/strikeforce-melendez-vs-masvidal-461
UFC 141: Lesnar vs Overeem,2011-12-30,https://www.bestfightodds.com/events/ufc-141-lesnar-vs-overeem-452
DREAM - New Year! 2011,2011-12-31,https://www.bestfightodds.com/events/dream-new-year-2011-480
Strikeforce - Rockhold vs. Jardine,2012-01-07,https://www.bestfightodds.com/events/strikeforce-rockhold-vs-jardine-488
UFC 142: Aldo vs Mendes,2012-01-14,https://www.bestfightodds.com/events/ufc-142-aldo-vs-mendes-474
UFC on FX: Guillard vs Miller,2012-01-20,https://www.bestfightodds.com/events/ufc-on-fx-1-guillard-vs-miller-479
ProElite 3: Da Spyder vs. Minowaman,2012-01-21,https://www.bestfightodds.com/events/proelite-3-481
UFC on FOX: Evans vs Davis,2012-01-28,https://www.bestfightodds.com/events/ufc-on-fox-2-482
UFC 143: Diaz vs Condit,2012-02-04,https://www.bestfightodds.com/events/ufc-143-condit-vs-diaz-478
UFC on FUEL TV: Sanchez vs Ellenberger,2012-02-15,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485
UFC 144: Edgar vs Henderson,2012-02-25,https://www.bestfightodds.com/events/ufc-144-edgar-vs-henderson-477
UFC on FX: Alves vs Kampmann,2012-03-02,https://www.bestfightodds.com/events/ufc-on-fx-2-alves-vs-kampmann-487
Strikeforce - Tate vs. Rousey,2012-03-03,https://www.bestfightodds.com/events/strikeforce-tate-vs-rousey-492
ONE FC 3: War of the Lions,2012-03-31,
UFC on FUEL TV: Gustafsson vs Silva,2012-04-14,https://www.bestfightodds.com/events/ufc-on-fuel-tv-2-gustafsson-vs-silva-493
UFC 145: Jones vs Evans,2012-04-21,https://www.bestfightodds.com/events/ufc-145-jones-vs-evans-490
Invicta FC 1: Coenen vs. Ruyssen,2012-04-28,https://www.bestfightodds.com/events/invicta-fc-1-544
UFC on FOX: Diaz vs Miller,2012-05-05,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
UFC on FUEL TV: Korean Zombie vs Poirier,2012-05-15,https://www.bestfightodds.com/events/ufc-on-fuel-tv-3-korean-zombie-vs-poirier-499
Strikeforce - Barnett vs Cormier,2012-05-19,https://www.bestfightodds.com/events/strikeforce-barnett-vs-cormier-529
UFC 146: Dos Santos vs Mir,2012-05-26,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
The Ultimate Fighter: Live Finale,2012-06-01,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-15-finale-524
UFC on FX: Johnson vs McCall,2012-06-08,https://www.bestfightodds.com/events/ufc-on-fx-3-johnson-vs-mccall-522
M-1 Global - Fedor vs. Rizzo,2012-06-21,https://www.bestfightodds.com/events/m-1-global-fedor-vs-rizzo-556
UFC on FX: Maynard vs Guida,2012-06-22,https://www.bestfightodds.com/events/ufc-on-fx-4-guida-vs-maynard-521
UFC 147: Silva vs Franklin 2,2012-06-23,https://www.bestfightodds.com/events/ufc-147-silva-vs-franklin-ii-517
UFC 148: Silva vs Sonnen 2,2012-07-07,https://www.bestfightodds.com/events/ufc-148-silva-vs-sonnen-2-506
UFC on FUEL TV: Munoz vs Weidman,2012-07-11,https://www.bestfightodds.com/events/ufc-on-fuel-tv-4-munoz-vs-weidman-545
Strikeforce - Rockhold vs Kennedy,2012-07-14,https://www.bestfightodds.com/events/strikeforce-rockhold-vs-kennedy-550
UFC 149: Faber vs Barao,2012-07-21,https://www.bestfightodds.com/events/ufc-149-faber-vs-barao-527
Invicta FC 2: McMann vs. Baszler,2012-07-28,https://www.bestfightodds.com/events/invicta-fc-2-557
UFC on FOX: Shogun vs Vera,2012-08-04,https://www.bestfightodds.com/events/ufc-on-fox-4-shogun-vs-vera-546
UFC 150: Henderson vs Edgar II,2012-08-11,https://www.bestfightodds.com/events/ufc-150-henderson-vs-edgar-ii-547
Strikeforce - Rousey vs Kaufman,2012-08-18,https://www.bestfightodds.com/events/strikeforce-rousey-vs-kaufman-566
UFC 152: Jones vs Belfort,2012-09-22,https://www.bestfightodds.com/events/ufc-152-jones-vs-belfort-561
UFC on FUEL TV: Struve vs Miocic,2012-09-29,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569
UFC on FX: Browne vs Bigfoot,2012-10-05,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Invicta FC 3: Penne vs. Sugiyuma,2012-10-06,https://www.bestfightodds.com/events/invicta-fc-3-penne-vs-sugiyama-591
UFC 153: Silva vs Bonnar,2012-10-13,https://www.bestfightodds.com/events/ufc-153-silva-vs-bonnar-571
UFC Macao: Franklin vs Le,2012-11-10,https://www.bestfightodds.com/events/ufc-on-fuel-tv-6-franklin-vs-le-582
UFC 154: St-Pierre vs Condit,2012-11-17,https://www.bestfightodds.com/events/ufc-154-st-pierre-vs-condit-565
UFC on FOX: Henderson vs Diaz,2012-12-08,https://www.bestfightodds.com/events/ufc-on-fox-5-henderson-vs-diaz-584
UFC on FX: Sotiropoulos vs Pearson,2012-12-14,https://www.bestfightodds.com/events/ufc-on-fx-6-sotiropoulos-vs-pearson-594
The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,2012-12-15,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-16-finale-602
UFC 155: Dos Santos vs Velasquez II,2012-12-29,https://www.bestfightodds.com/events/ufc-155-dos-santos-vs-velasquez-ii-585
DREAM 18,2012-12-31,https://www.bestfightodds.com/events/dream-18-626
Strikeforce - Marquardt vs Saffiedine,2013-01-12,https://www.bestfightodds.com/events/strikeforce-marquardt-vs-saffiedine-614
UFC on FX: Belfort vs Bisping,2013-01-19,https://www.bestfightodds.com/events/ufc-on-fx-7-belfort-vs-bisping-612
UFC on FOX: Johnson vs Dodson,2013-01-26,https://www.bestfightodds.com/events/ufc-on-fox-6-johnson-vs-dodson-613
UFC 156: Aldo vs Edgar,2013-02-02,https://www.bestfightodds.com/events/ufc-156-aldo-vs-edgar-611
UFC on FUEL TV: Barao vs McDonald,2013-02-16,https://www.bestfightodds.com/events/ufc-on-fuel-tv-7-barao-vs-mcdonald-632
UFC 157: Rousey vs Carmouche,2013-02-23,https://www.bestfightodds.com/events/ufc-157-rousey-vs-carmouche-618
UFC on FUEL TV: Silva vs. Stann,2013-03-02,https://www.bestfightodds.com/events/ufc-on-fuel-tv-8-silva-vs-stann-625
UFC 158: St-Pierre vs Diaz,2013-03-16,https://www.bestfightodds.com/events/ufc-158-st-pierre-vs-diaz-627
Invicta FC 5: Penne vs. Waterson,2013-04-05,https://www.bestfightodds.com/events/invicta-fc-5-penne-vs-waterson-655
UFC on FUEL TV: Mousasi vs Latifi,2013-04-06,https://www.bestfightodds.com/events/ufc-on-fuel-tv-9-mousasi-vs-latifi-636
The Ultimate Fighter: Team Jones vs. Team Sonnen Finale,2013-04-13,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-17-finale-656
UFC on FOX: Henderson vs Melendez,2013-04-20,https://www.bestfightodds.com/events/ufc-on-fox-7-henderson-vs-melendez-634
UFC 159: Jones vs Sonnen,2013-04-27,https://www.bestfightodds.com/events/ufc-159-jones-vs-sonnen-633
UFC on FX: Belfort vs. Rockhold,2013-05-18,https://www.bestfightodds.com/events/ufc-on-fx-8-belfort-vs-rockhold-648
UFC 160: Velasquez vs Silva 2,2013-05-25,https://www.bestfightodds.com/events/ufc-160-velasquez-vs-silva-ii-647
UFC on FUEL TV: Nogueira vs. Werdum,2013-06-08,https://www.bestfightodds.com/events/ufc-on-fuel-tv-10-nogueira-vs-werdum-2-668
UFC 161: Evans vs Henderson,2013-06-15,https://www.bestfightodds.com/events/ufc-161-evans-vs-henderson-660
UFC 162: Silva vs Weidman,2013-07-06,https://www.bestfightodds.com/events/ufc-162-silva-vs-weidman-661
Invicta FC 6: Coenen vs. Cyborg,2013-07-13,https://www.bestfightodds.com/events/invicta-fc-6-cyborg-vs-coenen-ii-677
UFC on FOX: Johnson vs Moraga,2013-07-27,https://www.bestfightodds.com/events/ufc-on-fox-8-johnson-vs-moraga-674
UFC 163: Aldo vs Jung,2013-08-03,https://www.bestfightodds.com/events/ufc-163-aldo-vs-jung-683
UFC Fight Night: Shogun vs Sonnen,2013-08-17,https://www.bestfightodds.com/events/ufc-fight-night-26-shogun-vs-sonnen-685
UFC Fight Night: Condit vs Kampmann 2,2013-08-28,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
UFC 164: Henderson vs Pettis 2,2013-08-31,https://www.bestfightodds.com/events/ufc-164-henderson-vs-pettis-ii-691
UFC Fight Night: Teixeira vs Bader,2013-09-04,https://www.bestfightodds.com/events/ufc-fight-night-28-teixeira-vs-bader-705
UFC 165: Jones vs Gustafsson,2013-09-21,https://www.bestfightodds.com/events/ufc-165-jones-vs-gustafsson-697
UFC Fight Night: Maia vs Shields,2013-10-09,https://www.bestfightodds.com/events/ufc-fight-night-29-maia-vs-shields-713
UFC 166: Velasquez vs Dos Santos 3,2013-10-19,https://www.bestfightodds.com/events/ufc-166-velasquez-vs-dos-santos-iii-698
UFC Fight Night: Machida vs Munoz,2013-10-26,https://www.bestfightodds.com/events/ufc-fight-night-30-machida-vs-munoz-712
UFC Fight Night: Fight for the Troops 3,2013-11-06,https://www.bestfightodds.com/events/ufc-fight-night-31-fight-for-the-troops-iii-726
UFC Fight Night: Belfort vs Henderson 2,2013-11-09,https://www.bestfightodds.com/events/ufc-fight-night-32-belfort-vs-henderson-725
UFC 167: St-Pierre vs Hendricks,2013-11-16,https://www.bestfightodds.com/events/ufc-167-st-pierre-vs-hendricks-699
The Ultimate Fighter: Team Rousey vs. Team Tate Finale,2013-11-30,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-18-finale-720
UFC Fight Night: Hunt vs Bigfoot,2013-12-06,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728
UFC on FOX: Johnson vs. Benavidez 2,2013-12-14,https://www.bestfightodds.com/events/ufc-on-fox-9-johnson-vs-benavidez-729
UFC 168: Weidman vs Silva 2,2013-12-28,https://www.bestfightodds.com/events/ufc-168-weidman-vs-silva-ii-706
UFC Fight Night: Saffiedine vs Lim,2014-01-04,https://www.bestfightodds.com/events/ufc-fight-night-34-saffiedine-vs-lim-761
UFC Fight Night: Rockhold vs Philippou,2014-01-15,https://www.bestfightodds.com/events/ufc-fight-night-35-rockhold-vs-philippou-762
UFC on FOX: Henderson vs Thomson,2014-01-25,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
UFC 169: Barao vs Faber 2,2014-02-01,https://www.bestfightodds.com/events/ufc-169-barao-vs-faber-737
UFC Fight Night: Machida vs Mousasi,2014-02-15,https://www.bestfightodds.com/events/ufc-fight-night-36-machida-vs-mousasi-758
UFC 170: Rousey vs McMann,2014-02-22,https://www.bestfightodds.com/events/ufc-170-rousey-vs-mcmann-756
UFC Fight Night: Kim vs Hathaway,2014-03-01,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-china-finale-778
UFC Fight Night: Gustafsson vs Manuwa,2014-03-08,https://www.bestfightodds.com/events/ufc-fight-night-37-gustafsson-vs-manuwa-751
UFC 171: Hendricks vs Lawler,2014-03-15,https://www.bestfightodds.com/events/ufc-171-hendricks-vs-lawler-771
UFC Fight Night: Shogun vs Henderson 2,2014-03-23,https://www.bestfightodds.com/events/ufc-fight-night-38-shogun-vs-henderson-784
UFC Fight Night: Minotauro vs Nelson,2014-04-11,https://www.bestfightodds.com/events/ufc-fight-night-39-minotauro-vs-nelson-790
UFC Fight Night: Bisping vs Kennedy,2014-04-16,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-nations-finale-806
UFC on FOX: Werdum vs Browne,2014-04-19,https://www.bestfightodds.com/events/ufc-on-fox-11-werdum-vs-browne-779
UFC 172: Jones vs Teixeira,2014-04-26,https://www.bestfightodds.com/events/ufc-172-jones-vs-teixeira-772
UFC Fight Night: Brown vs Silva,2014-05-10,https://www.bestfightodds.com/events/ufc-fight-night-40-brown-vs-silva-794
UFC 173: Barao vs Dillashaw,2014-05-24,https://www.bestfightodds.com/events/ufc-173-barao-vs-dillashaw-786
UFC Fight Night: Miocic vs Maldonado,2014-05-31,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-brazil-3-finale-812
UFC Fight Night: Munoz vs Mousasi,2014-05-31,https://www.bestfightodds.com/events/ufc-fight-night-41-munoz-vs-mousasi-799
UFC Fight Night: Henderson vs Khabilov,2014-06-07,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
UFC 174: Johnson vs Bagautinov,2014-06-14,https://www.bestfightodds.com/events/ufc-174-johnson-vs-bagautinov-807
UFC Fight Night: Swanson vs Stephens,2014-06-28,https://www.bestfightodds.com/events/ufc-fight-night-44-swanson-vs-stephens-800
UFC Fight Night: Te Huna vs Marquardt,2014-06-28,https://www.bestfightodds.com/events/ufc-fight-night-43-te-huna-vs-marquardt-823
UFC 175: Weidman vs Machida,2014-07-05,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
The Ultimate Fighter: Team Edgar vs. Team Penn Finale,2014-07-06,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-19-finale-832
UFC Fight Night: Cowboy vs Miller,2014-07-16,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
UFC Fight Night: McGregor vs Brandao,2014-07-19,https://www.bestfightodds.com/events/ufc-fight-night-46-mcgregor-vs-brandao-827
UFC on FOX: Lawler vs Brown,2014-07-26,https://www.bestfightodds.com/events/ufc-on-fox-12-lawler-vs-brown-829
UFC Fight Night: Bader vs Saint Preux,2014-08-16,https://www.bestfightodds.com/events/ufc-fight-night-47-bader-vs-saint-preux-845
UFC Fight Night: Bisping vs Le,2014-08-23,https://www.bestfightodds.com/events/ufc-fight-night-48-bisping-vs-le-835
UFC Fight Night: Henderson vs Dos Anjos,2014-08-23,https://www.bestfightodds.com/events/ufc-fight-night-49-henderson-vs-dos-anjos-846
UFC 177: Dillashaw vs Soto,2014-08-30,https://www.bestfightodds.com/events/ufc-177-dillashaw-vs-soto-849
UFC Fight Night: Jacare vs Mousasi,2014-09-05,https://www.bestfightodds.com/events/ufc-fight-night-50-souza-vs-mousasi-851
UFC Fight Night: Bigfoot vs Arlovski,2014-09-13,https://www.bestfightodds.com/events/ufc-fight-night-51-big-foot-vs-arlovski-ii-850
UFC Fight Night: Hunt vs Nelson,2014-09-20,https://www.bestfightodds.com/events/ufc-fight-night-52-hunt-vs-nelson-847
UFC 178: Johnson vs Cariaso,2014-09-27,https://www.bestfightodds.com/events/ufc-178-johnson-vs-cariaso-836
UFC Fight Night: MacDonald vs Saffiedine,2014-10-04,https://www.bestfightodds.com/events/ufc-fight-night-54-macdonald-vs-saffiedine-861
UFC Fight Night: Nelson vs Story,2014-10-04,https://www.bestfightodds.com/events/ufc-fight-night-53-nelson-vs-story-860
UFC 179: Aldo vs Mendes 2,2014-10-25,https://www.bestfightodds.com/events/ufc-179-aldo-vs-mendes-ii-855
UFC Fight Night: Rockhold vs Bisping,2014-11-07,https://www.bestfightodds.com/events/ufc-fight-night-55-rockhold-vs-bisping-894
UFC Fight Night 56: Shogun vs Saint Preux,2014-11-08,https://www.bestfightodds.com/events/ufc-fight-night-56-shogun-vs-st-preux-893
UFC 180: Werdum vs Hunt,2014-11-15,https://www.bestfightodds.com/events/ufc-180-werdum-vs-hunt-824
UFC Fight Night: Edgar vs Swanson,2014-11-22,https://www.bestfightodds.com/events/ufc-fight-night-57-edgar-vs-swanson-892
UFC 181: Hendricks vs Lawler II,2014-12-06,https://www.bestfightodds.com/events/ufc-181-hendricks-vs-lawler-2-853
The Ultimate Fighter: A Champion Will Be Crowned Finale,2014-12-12,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
UFC on FOX: Dos Santos vs Miocic,2014-12-13,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
UFC Fight Night: Machida vs Dollaway,2014-12-20,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880
UFC 182: Jones vs Cormier,2015-01-03,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
UFC Fight Night: McGregor vs Siver,2015-01-18,https://www.bestfightodds.com/events/ufc-fight-night-59-mcgregor-vs-siver-895
UFC on FOX: Gustafsson vs Johnson,2015-01-24,https://www.bestfightodds.com/events/ufc-on-fox-14-gustafsson-vs-johnson-906
UFC 183: Silva vs Diaz,2015-01-31,https://www.bestfightodds.com/events/ufc-183-silva-vs-diaz-856
UFC Fight Night: Henderson vs Thatch,2015-02-14,https://www.bestfightodds.com/events/ufc-fight-night-60-henderson-vs-thatch-915
UFC Fight Night: Bigfoot vs Mir,2015-02-22,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923
UFC 184: Rousey vs Zingano,2015-02-28,https://www.bestfightodds.com/events/ufc-184-rousey-vs-zingano-896
UFC 185: Pettis vs Dos Anjos,2015-03-14,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
UFC Fight Night: Maia vs LaFlare,2015-03-21,https://www.bestfightodds.com/events/ufc-fight-night-62-maia-vs-laflare-934
UFC Fight Night: Mendes vs Lamas,2015-04-04,https://www.bestfightodds.com/events/ufc-fight-night-63-mendes-vs-lamas-932
UFC Fight Night: Gonzaga vs Cro Cop 2,2015-04-11,https://www.bestfightodds.com/events/ufc-fight-night-64-gonzaga-vs-cro-cop-ii-936
UFC on FOX: Machida vs Rockhold,2015-04-18,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
UFC 186: Johnson vs Horiguchi,2015-04-25,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
UFC Fight Night: Miocic vs Hunt,2015-05-09,https://www.bestfightodds.com/events/ufc-fight-night-65-hunt-vs-miocic-950
UFC Fight Night: Edgar vs Faber,2015-05-16,https://www.bestfightodds.com/events/ufc-fight-night-66-edgar-vs-faber-946
UFC 187: Johnson vs Cormier,2015-05-23,https://www.bestfightodds.com/events/ufc-187-johnson-vs-cormier-945
UFC Fight Night: Condit vs Alves,2015-05-30,https://www.bestfightodds.com/events/ufc-fight-night-67-alves-vs-condit-957
