event,date,url
UFC Fight Night: Boetsch vs Henderson,6/6/2015,https://www.bestfightodds.com/events/ufc-fight-night-68-henderson-vs-boetsch-947
UFC 188: Velasquez vs Werdum,6/13/2015,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
UFC Fight Night: Jedrzejczyk vs Penne,6/20/2015,https://www.bestfightodds.com/events/ufc-fight-night-69-jedrzejczyk-vs-penne-964
UFC Fight Night: Machida vs Romero,6/27/2015,https://www.bestfightodds.com/events/ufc-fight-night-70-machida-vs-romero-973
UFC 189: Mendes vs McGregor,7/11/2015,https://www.bestfightodds.com/events/ufc-189-mendes-vs-mcgregor-942
The Ultimate Fighter: American Top Team vs. Blackzilians Finale,7/12/2015,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-21-finale-ellenberger-vs-thompson-971
UFC Fight Night: Mir vs Duffee,7/15/2015,https://www.bestfightodds.com/events/ufc-fight-night-71-mir-vs-duffee-965
UFC Fight Night: Bisping vs Leites,7/18/2015,https://www.bestfightodds.com/events/ufc-fight-night-72-bisping-vs-leites-975
UFC on FOX: Dillashaw vs. Barao II,7/25/2015,https://www.bestfightodds.com/events/ufc-on-fox-16-dillashaw-vs-barao-2-967
UFC 190: Rousey vs Correia,8/1/2015,https://www.bestfightodds.com/events/ufc-190-rousey-vs-correia-960
UFC Fight Night: Teixeira vs Saint Preux,8/8/2015,https://www.bestfightodds.com/events/ufc-fight-night-73-saint-preux-vs-teixeira-979
UFC Fight Night: Holloway vs Oliveira,8/23/2015,https://www.bestfightodds.com/events/ufc-fight-night-74-holloway-vs-oliveira-984
UFC 191: Johnson vs Dodson 2,9/5/2015,https://www.bestfightodds.com/events/ufc-191-johnson-vs-dodson-ii-992
UFC Fight Night: Barnett vs Nelson,9/26/2015,https://www.bestfightodds.com/events/ufc-fight-night-75-nelson-vs-barnett-1003
UFC 192: Cormier vs Gustafsson,10/3/2015,https://www.bestfightodds.com/events/ufc-192-cormier-vs-gustafsson-990
UFC Fight Night: Holohan vs Smolka,10/24/2015,https://www.bestfightodds.com/events/ufc-fight-night-76-holohan-vs-smolka-976
UFC Fight Night: Belfort vs Henderson 3,11/7/2015,https://www.bestfightodds.com/events/ufc-fight-night-77-belfort-vs-henderson-3-997
UFC 193: Rousey vs Holm,11/14/2015,https://www.bestfightodds.com/events/ufc-193-rousey-vs-holm-1002
UFC Fight Night: Magny vs Gastelum,11/21/2015,https://www.bestfightodds.com/events/ufc-fight-night-78-magny-vs-gastelum-999
UFC Fight Night: Henderson vs Masvidal,11/28/2015,https://www.bestfightodds.com/events/ufc-fight-night-79-henderson-vs-masvidal-1013
UFC Fight Night: Namajunas vs. VanZant,12/10/2015,https://www.bestfightodds.com/events/ufc-fight-night-80-vanzant-vs-namajunas-1023
The Ultimate Fighter: Team McGregor vs. Team Faber Finale,12/11/2015,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-22-finale-edgar-vs-mendes-1011
UFC 194: Aldo vs McGregor,12/12/2015,https://www.bestfightodds.com/events/ufc-194-aldo-vs-mcgregor-1005
UFC on FOX: Dos Anjos vs. Cowboy 2,12/19/2015,https://www.bestfightodds.com/events/ufc-on-fox-17-dos-anjos-vs-cerrone-1008
UFC 195: Lawler vs Condit,1/2/2016,https://www.bestfightodds.com/events/ufc-195-lawler-vs-condit-1012
UFC Fight Night: Dillashaw vs Cruz,1/17/2016,https://www.bestfightodds.com/events/ufc-fight-night-81-dillashaw-vs-cruz-1022
UFC on FOX: Johnson vs. Bader,1/30/2016,https://www.bestfightodds.com/events/ufc-on-fox-18-johnson-vs-bader-1038
UFC Fight Night: Hendricks vs Thompson,2/6/2016,https://www.bestfightodds.com/events/ufc-fight-night-82-hendricks-vs-thompson-1056
UFC Fight Night: Cowboy vs Cowboy,2/21/2016,https://www.bestfightodds.com/events/ufc-fight-night-83-cowboy-vs-cowboy-1057
UFC Fight Night: Silva vs Bisping,2/27/2016,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
UFC 196: McGregor vs Diaz,3/5/2016,https://www.bestfightodds.com/events/ufc-196-mcgregor-vs-diaz-1060
UFC Fight Night: Hunt vs Mir,3/19/2016,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
UFC Fight Night: Rothwell vs Dos Santos,4/10/2016,https://www.bestfightodds.com/events/ufc-fight-night-86-rothwell-vs-dos-santos-1077
UFC on FOX: Teixeira vs Evans,4/16/2016,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
UFC 197: Jones vs Saint Preux,4/23/2016,https://www.bestfightodds.com/events/ufc-197-jones-vs-saint-preux-1080
UFC Fight Night: Overeem vs Arlovski,5/8/2016,https://www.bestfightodds.com/events/ufc-fight-night-87-overeem-vs-arlovski-1088
UFC 198: Werdum vs Miocic,5/14/2016,https://www.bestfightodds.com/events/ufc-198-werdum-vs-miocic-1070
UFC Fight Night: Almeida vs Garbrandt,5/29/2016,https://www.bestfightodds.com/events/ufc-fight-night-88-almeida-vs-garbrandt-1104
UFC 199: Rockhold vs. Bisping 2,6/4/2016,https://www.bestfightodds.com/events/ufc-199-rockhold-vs-bisping-ii-1081
UFC Fight Night: MacDonald vs Thompson,6/18/2016,https://www.bestfightodds.com/events/ufc-fight-night-89-macdonald-vs-thompson-1098
UFC Fight Night: Dos Anjos vs. Alvarez,7/7/2016,https://www.bestfightodds.com/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118
The Ultimate Fighter: Team Joanna vs. Team Cl?udia Finale,7/8/2016,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-23-finale-team-joanna-vs-team-claudia-1067
UFC 200: Tate vs Nunes,7/9/2016,https://www.bestfightodds.com/events/ufc-200-tate-vs-nunes-1102
UFC Fight Night: McDonald vs. Lineker,7/13/2016,https://www.bestfightodds.com/events/ufc-fight-night-91-mcdonald-vs-lineker-1120
UFC on FOX: Holm vs. Shevchenko,7/23/2016,https://www.bestfightodds.com/events/ufc-on-fox-20-holm-vs-shevchenko-1114
UFC 201: Lawler vs. Woodley,7/30/2016,https://www.bestfightodds.com/events/ufc-201-lawler-vs-woodley-1129
UFC Fight Night: Rodriguez vs. Caceres,8/6/2016,https://www.bestfightodds.com/events/ufc-fight-night-92-rodriguez-vs-caceres-1146
UFC 202: Diaz vs. McGregor 2,8/20/2016,https://www.bestfightodds.com/events/ufc-202-diaz-vs-mcgregor-2-1143
UFC on FOX: Maia vs. Condit,8/27/2016,https://www.bestfightodds.com/events/ufc-on-fox-21-maia-vs-condit-1150
UFC Fight Night: Arlovski vs. Barnett,9/3/2016,https://www.bestfightodds.com/events/ufc-fight-night-93-arlovski-vs-barnett-1139
UFC 203: Miocic vs. Overeem,9/10/2016,https://www.bestfightodds.com/events/ufc-203-miocic-vs-overeem-1138
UFC Fight Night: Poirier vs. Johnson,9/17/2016,https://www.bestfightodds.com/events/ufc-fight-night-94-johnson-vs-poirier-1160
UFC Fight Night: Cyborg vs. Lansberg,9/24/2016,https://www.bestfightodds.com/events/ufc-fight-night-95-cyborg-vs-lansberg-1167
UFC Fight Night: Lineker vs. Dodson,10/1/2016,https://www.bestfightodds.com/events/ufc-fight-night-96-lineker-vs-dodson-1165
UFC 204: Bisping vs. Henderson,10/8/2016,https://www.bestfightodds.com/events/ufc-204-bisping-vs-henderson-2-1168
UFC Fight Night: Dos Anjos vs. Ferguson,11/5/2016,https://www.bestfightodds.com/events/ufc-fight-night-98-dos-anjos-vs-ferguson-1164
UFC 205: Alvarez vs McGregor,11/12/2016,https://www.bestfightodds.com/events/ufc-205-alvarez-vs-mcgregor-1188
UFC Fight Night: Bader vs. Nogueira,11/19/2016,https://www.bestfightodds.com/events/ufc-fight-night-100-bader-vs-nogueira-1185
UFC Fight Night: Mousasi vs. Hall 2,11/19/2016,https://www.bestfightodds.com/events/ufc-fight-night-99-mousasi-vs-hall-2-1184
UFC Fight Night: Whittaker vs. Brunson,11/26/2016,https://www.bestfightodds.com/events/ufc-fight-night-101-whittaker-vs-brunson-1191
The Ultimate Fighter: Tournament of Champions Finale,12/3/2016,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-24-finale-1135
UFC Fight Night: Lewis vs. Abdurakhimov,12/9/2016,https://www.bestfightodds.com/events/ufc-fight-night-102-lewis-vs-abdurakhimov-1203
UFC 206: Holloway vs. Pettis,12/10/2016,https://www.bestfightodds.com/events/ufc-206-holloway-vs-pettis-1204
UFC on FOX: VanZant vs. Waterson,12/17/2016,https://www.bestfightodds.com/events/ufc-on-fox-22-vanzant-vs-waterson-1207
UFC 207: Nunes vs. Rousey,12/30/2016,https://www.bestfightodds.com/events/ufc-207-nunes-vs-rousey-1210
UFC Fight Night: Rodriguez vs. Penn,1/15/2017,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
UFC on FOX: Shevchenko vs. Pena,1/28/2017,https://www.bestfightodds.com/events/ufc-on-fox-23-shevchenko-vs-pena-1225
UFC Fight Night: Bermudez vs. The Korean Zombie,2/4/2017,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
UFC 208: Holm vs. De Randamie,2/11/2017,https://www.bestfightodds.com/events/ufc-208-holm-vs-de-randamie-1229
UFC Fight Night: Lewis vs. Browne,2/19/2017,https://www.bestfightodds.com/events/ufc-fight-night-105-lewis-vs-browne-1228
UFC 209: Woodley vs. Thompson 2,3/4/2017,https://www.bestfightodds.com/events/ufc-209-woodley-vs-thompson-2-1234
UFC Fight Night: Belfort vs. Gastelum,3/11/2017,https://www.bestfightodds.com/events/ufc-fight-night-106-belfort-vs-gastelum-1231
UFC Fight Night: Manuwa vs. Anderson,3/18/2017,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
UFC 210: Cormier vs. Johnson 2,4/8/2017,https://www.bestfightodds.com/events/ufc-210-cormier-vs-johnson-2-1248
UFC on FOX: Johnson vs. Reis,4/15/2017,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
UFC Fight Night: Swanson vs. Lobov,4/22/2017,https://www.bestfightodds.com/events/ufc-fight-night-108-swanson-vs-lobov-1258
UFC 211: Miocic vs. Dos Santos,5/13/2017,https://www.bestfightodds.com/events/ufc-211-miocic-vs-dos-santos-2-1252
UFC Fight Night: Gustafsson vs. Teixeira,5/28/2017,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
UFC 212: Aldo vs. Holloway,6/3/2017,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
UFC Fight Night: Lewis vs. Hunt,6/10/2017,https://www.bestfightodds.com/events/ufc-fight-night-110-lewis-vs-hunt-1275
UFC Fight Night: Holm vs. Correia,6/17/2017,https://www.bestfightodds.com/events/ufc-fight-night-111-holm-vs-correia-1277
UFC Fight Night: Chiesa vs. Lee,6/25/2017,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
The Ultimate Fighter: Redemption Finale,7/7/2017,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
UFC 213: Romero vs. Whittaker,7/8/2017,https://www.bestfightodds.com/events/ufc-213-romero-vs-whittaker-1282
DWCS 1.1,7/11/2017,https://www.bestfightodds.com/events/dana-white-s-contender-series-1-1330
UFC Fight Night: Nelson vs. Ponzinibbio,7/16/2017,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
DWCS 1.2,7/18/2017,https://www.bestfightodds.com/events/dana-white-s-contender-series-2-1335
UFC Fight Night: Weidman vs. Gastelum,7/22/2017,https://www.bestfightodds.com/events/ufc-on-fox-25-weidman-vs-gastelum-1292
DWCS 1.3,7/25/2017,https://www.bestfightodds.com/events/dana-white-s-contender-series-3-1338
UFC 214: Cormier vs. Jones 2,7/29/2017,https://www.bestfightodds.com/events/ufc-214-cormier-vs-jones-2-1303
DWCS 1.4,8/1/2017,https://www.bestfightodds.com/events/dana-white-s-contender-series-4-1340
UFC Fight Night: Pettis vs. Moreno,8/5/2017,https://www.bestfightodds.com/events/ufc-fight-night-114-pettis-vs-moreno-1307
DWCS 1.5,8/8/2017,https://www.bestfightodds.com/events/dana-white-s-contender-series-5-1349
DWCS 1.6,8/15/2017,https://www.bestfightodds.com/events/dana-white-s-contender-series-6-1355
DWCS 1.7,8/22/2017,https://www.bestfightodds.com/events/dana-white-s-contender-series-7-1359
DWCS 1.8,8/29/2017,https://www.bestfightodds.com/events/dana-white-s-contender-series-8-1360
UFC Fight Night: Volkov vs. Struve,9/2/2017,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
UFC 215: Nunes vs Shevchenko 2,9/9/2017,https://www.bestfightodds.com/events/ufc-215-nunes-vs-shevchenko-2-1308
UFC Fight Night: Rockhold vs. Branch,9/16/2017,https://www.bestfightodds.com/events/ufc-fight-night-116-rockhold-vs-branch-1343
UFC Fight Night: Saint Preux vs. Okami,9/22/2017,https://www.bestfightodds.com/events/ufc-fight-night-117-saint-preux-vs-okami-1332
UFC 216: Ferguson vs. Lee,10/7/2017,https://www.bestfightodds.com/events/ufc-216-ferguson-vs-lee-1341
UFC Fight Night: Cerrone vs. Till,10/21/2017,https://www.bestfightodds.com/events/ufc-fight-night-118-cerrone-vs-till-1356
UFC Fight Night: Brunson vs. Machida,10/28/2017,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
UFC 217: Bisping vs. St-Pierre,11/4/2017,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
UFC Fight Night: Poirier vs. Pettis,11/11/2017,https://www.bestfightodds.com/events/ufc-fight-night-120-poirier-vs-pettis-1353
UFC Fight Night: Werdum vs. Tybura,11/18/2017,https://www.bestfightodds.com/events/ufc-fight-night-121-werdum-vs-tybura-1354
UFC Fight Night: Bisping vs. Gastelum,11/25/2017,https://www.bestfightodds.com/events/ufc-fight-night-122-bisping-vs-gastelum-1363
The Ultimate Fighter: A New World Champion Finale,12/1/2017,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-26-finale-1364
UFC 218: Holloway vs. Aldo 2,12/2/2017,https://www.bestfightodds.com/events/ufc-218-holloway-vs-aldo-2-1368
UFC Fight Night: Swanson vs. Ortega,12/9/2017,https://www.bestfightodds.com/events/ufc-fight-night-123-swanson-vs-ortega-1386
UFC Fight Night: Lawler vs. Dos Anjos,12/16/2017,https://www.bestfightodds.com/events/ufc-on-fox-26-lawler-vs-dos-anjos-1365
UFC 219: Cyborg vs. Holm,12/30/2017,https://www.bestfightodds.com/events/ufc-219-cyborg-vs-holm-1387
UFC Fight Night: Stephens vs. Choi,1/14/2018,https://www.bestfightodds.com/events/ufc-fight-night-124-stephens-vs-choi-1408
UFC 220: Miocic vs. Ngannou,1/20/2018,https://www.bestfightodds.com/events/ufc-220-miocic-vs-ngannou-1406
UFC Fight Night: Jacare vs. Brunson 2,1/27/2018,https://www.bestfightodds.com/events/ufc-on-fox-27-jacare-vs-brunson-2-1413
UFC Fight Night: Machida vs. Anders,2/3/2018,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
UFC 221: Romero vs. Rockhold,2/10/2018,https://www.bestfightodds.com/events/ufc-221-romero-vs-rockhold-1411
UFC Fight Night: Cerrone vs. Medeiros,2/18/2018,https://www.bestfightodds.com/events/ufc-fight-night-126-cerrone-vs-medeiros-1412
UFC Fight Night: Emmett vs. Stephens,2/24/2018,https://www.bestfightodds.com/events/ufc-on-fox-28-stephens-vs-emmett-1425
UFC 222: Cyborg vs. Kunitskaya,3/3/2018,https://www.bestfightodds.com/events/ufc-222-cyborg-vs-kunitskaya-1422
UFC Fight Night: Werdum vs. Volkov,3/17/2018,https://www.bestfightodds.com/events/ufc-fight-night-127-werdum-vs-volkov-1423
UFC 223: Khabib vs. Iaquinta,4/7/2018,https://www.bestfightodds.com/events/ufc-223-nurmagomedov-vs-iaquinta-1444
UFC Fight Night: Poirier vs. Gaethje,4/14/2018,https://www.bestfightodds.com/events/ufc-on-fox-29-poirier-vs-gaethje-1446
UFC Fight Night: Barboza vs. Lee,4/21/2018,https://www.bestfightodds.com/events/ufc-fight-night-128-barboza-vs-lee-1455
UFC 224: Nunes vs. Pennington,5/12/2018,https://www.bestfightodds.com/events/ufc-224-nunes-vs-pennington-1453
UFC Fight Night: Maia vs. Usman,5/19/2018,https://www.bestfightodds.com/events/ufc-fight-night-129-maia-vs-usman-1468
UFC Fight Night: Thompson vs. Till,5/27/2018,https://www.bestfightodds.com/events/ufc-fight-night-130-thompson-vs-till-1478
UFC Fight Night: Rivera vs. Moraes,6/1/2018,https://www.bestfightodds.com/events/ufc-fight-night-131-rivera-vs-moraes-1467
UFC 225: Whittaker vs. Romero 2,6/9/2018,https://www.bestfightodds.com/events/ufc-225-whittaker-vs-romero-2-1459
DWCS 2.1,6/12/2018,https://www.bestfightodds.com/events/dana-white-s-contender-series-9-1515
DWCS 2.2,6/19/2018,https://www.bestfightodds.com/events/dana-white-s-contender-series-10-1516
UFC Fight Night: Cowboy vs. Edwards,6/23/2018,https://www.bestfightodds.com/events/ufc-fight-night-132-cowboy-vs-edwards-1475
DWCS 2.3,6/26/2018,https://www.bestfightodds.com/events/dana-white-s-contender-series-11-1517
The Ultimate Fighter: Undefeated Finale,7/6/2018,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-27-finale-tavares-vs-adesanya-1503
UFC 226: Miocic vs. Cormier,7/7/2018,https://www.bestfightodds.com/events/ufc-226-miocic-vs-cormier-1447
DWCS 2.4,7/10/2018,https://www.bestfightodds.com/events/dana-white-s-contender-series-12-1518
UFC Fight Night: Dos Santos vs. Ivanov,7/14/2018,https://www.bestfightodds.com/events/ufc-fight-night-133-dos-santos-vs-ivanov-1504
DWCS 2.5,7/17/2018,https://www.bestfightodds.com/events/dana-white-s-contender-series-13-1531
UFC Fight Night: Shogun vs. Smith,7/22/2018,https://www.bestfightodds.com/events/ufc-fight-night-134-shogun-vs-smith-1507
DWCS 2.6,7/24/2018,https://www.bestfightodds.com/events/dana-white-s-contender-series-14-1550
UFC Fight Night: Alvarez vs. Poirier 2,7/28/2018,https://www.bestfightodds.com/events/ufc-on-fox-30-alvarez-vs-poirier-2-1502
DWCS 2.7,7/31/2018,https://www.bestfightodds.com/events/dana-white-s-contender-series-15-1555
UFC 227: Dillashaw vs. Garbrandt 2,8/4/2018,https://www.bestfightodds.com/events/ufc-227-dillashaw-vs-garbrandt-2-1492
DWCS 2.8,8/7/2018,https://www.bestfightodds.com/events/dana-white-s-contender-series-16-1563
DWCS Brazil 1.1,8/10/2018,
DWCS Brazil 1.2,8/11/2018,
DWCS Brazil 1.3,8/12/2018,
UFC Fight Night: Gaethje vs. Vick,8/25/2018,https://www.bestfightodds.com/events/ufc-fight-night-135-gaethje-vs-vick-1528
UFC 228: Woodley vs. Till,9/8/2018,https://www.bestfightodds.com/events/ufc-228-woodley-vs-till-1530
UFC Fight Night: Hunt vs. Oleinik,9/15/2018,https://www.bestfightodds.com/events/ufc-fight-night-136-hunt-vs-oleinik-1539
UFC Fight Night: Marreta vs. Anders,9/22/2018,https://www.bestfightodds.com/events/ufc-fight-night-137-santos-vs-anders-1544
UFC 229: Khabib vs. McGregor,10/6/2018,https://www.bestfightodds.com/events/ufc-229-nurmagomedov-vs-mcgregor-1566
UFC Fight Night: Oezdemir vs. Smith,10/27/2018,https://www.bestfightodds.com/events/ufc-fight-night-138-volkan-vs-smith-1564
UFC 230: Cormier vs. Lewis,11/3/2018,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
UFC Fight Night: Korean Zombie vs. Rodriguez,11/10/2018,https://www.bestfightodds.com/events/ufc-fight-night-139-korean-zombie-vs-rodriguez-1559
UFC Fight Night: Magny vs. Ponzinibbio,11/17/2018,https://www.bestfightodds.com/events/ufc-fight-night-140-magny-vs-ponzinibbio-1578
UFC Fight Night: Blaydes vs. Ngannou 2,11/24/2018,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
The Ultimate Fighter: Heavy Hitters Finale,11/30/2018,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-28-finale-dos-anjos-vs-usman-1586
UFC Fight Night: Dos Santos vs. Tuivasa,12/1/2018,https://www.bestfightodds.com/events/ufc-fight-night-142-dos-santos-vs-tuivasa-1574
UFC 231: Holloway vs. Ortega,12/8/2018,https://www.bestfightodds.com/events/ufc-231-holloway-vs-ortega-1584
UFC Fight Night: Lee vs. Iaquinta,12/15/2018,https://www.bestfightodds.com/events/ufc-on-fox-31-lee-vs-iaquinta-2-1587
UFC 232: Jones vs. Gustafsson 2,12/29/2018,https://www.bestfightodds.com/events/ufc-232-jones-vs-gustafsson-2-1583
UFC Fight Night: Cejudo vs. Dillashaw,1/19/2019,https://www.bestfightodds.com/events/ufc-on-espn-1-cejudo-vs-dillashaw-1623
UFC Fight Night: Assuncao vs. Moraes 2,2/2/2019,https://www.bestfightodds.com/events/ufc-on-espn-2-assuncao-vs-moraes-2-1628
UFC 234: Adesanya vs. Silva,2/9/2019,https://www.bestfightodds.com/events/ufc-234-adesanya-vs-silva-1620
UFC Fight Night: Ngannou vs. Velasquez,2/17/2019,https://www.bestfightodds.com/events/ufc-on-espn-1-ngannou-vs-velasquez-1637
UFC Fight Night: Blachowicz vs. Santos,2/23/2019,https://www.bestfightodds.com/events/ufc-on-espn-3-blachowicz-vs-santos-1638
UFC 235: Jones vs. Smith,3/2/2019,https://www.bestfightodds.com/events/ufc-235-jones-vs-smith-1625
UFC Fight Night: Lewis vs. Dos Santos,3/9/2019,https://www.bestfightodds.com/events/ufc-on-espn-4-lewis-vs-dos-santos-1639
UFC Fight Night: Till vs. Masvidal,3/16/2019,https://www.bestfightodds.com/events/ufc-on-espn-5-till-vs-masvidal-1626
UFC Fight Night: Thompson vs. Pettis,3/23/2019,https://www.bestfightodds.com/events/ufc-on-espn-6-thompson-vs-pettis-1654
UFC Fight Night: Barboza vs. Gaethje,3/30/2019,https://www.bestfightodds.com/events/ufc-on-espn-2-barboza-vs-gaethje-1648
UFC 236: Holloway vs. Poirier 2,4/13/2019,https://www.bestfightodds.com/events/ufc-236-holloway-vs-poirier-2-1666
UFC Fight Night: Overeem vs. Oleinik,4/20/2019,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-oleinik-1673
UFC Fight Night: Jacare vs. Hermansson,4/27/2019,https://www.bestfightodds.com/events/ufc-on-espn-8-jacare-vs-hermansson-1657
UFC Fight Night: Iaquinta vs. Cowboy,5/4/2019,https://www.bestfightodds.com/events/ufc-on-espn-9-iaquinta-vs-cowboy-1672
UFC 237: Namajunas vs. Andrade,5/11/2019,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
UFC Fight Night: Dos Anjos vs. Lee,5/18/2019,https://www.bestfightodds.com/events/ufc-on-espn-10-dos-anjos-vs-lee-1674
UFC Fight Night: Gustafsson vs. Smith,6/1/2019,https://www.bestfightodds.com/events/ufc-on-espn-11-gustafsson-vs-smith-1676
UFC 238: Cejudo vs. Moraes,6/8/2019,https://www.bestfightodds.com/events/ufc-238-cejudo-vs-moraes-1677
DWCS 3.1,6/18/2019,https://www.bestfightodds.com/events/dana-white-s-contender-series-17-1712
UFC Fight Night: Moicano vs. The Korean Zombie,6/22/2019,https://www.bestfightodds.com/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680
DWCS 3.2,6/25/2019,https://www.bestfightodds.com/events/dana-white-s-contender-series-18-1718
UFC Fight Night: Ngannou vs. Dos Santos,6/29/2019,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
UFC 239: Jones vs. Santos,7/6/2019,https://www.bestfightodds.com/events/ufc-239-jones-vs-santos-1686
DWCS 3.3,7/9/2019,https://www.bestfightodds.com/events/dana-white-s-contender-series-19-1748
UFC Fight Night: De Randamie vs. Ladd,7/13/2019,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
DWCS 3.4,7/16/2019,https://www.bestfightodds.com/events/dana-white-s-contender-series-20-1728
UFC Fight Night: Dos Anjos vs. Edwards,7/20/2019,https://www.bestfightodds.com/events/ufc-on-espn-4-dos-anjos-vs-edwards-1717
DWCS 3.5,7/23/2019,https://www.bestfightodds.com/events/dana-white-s-contender-series-21-1741
UFC 240: Holloway vs. Edgar,7/27/2019,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
DWCS 3.6,7/30/2019,https://www.bestfightodds.com/events/dana-white-s-contender-series-22-1742
UFC Fight Night: Covington vs. Lawler,8/3/2019,https://www.bestfightodds.com/events/ufc-on-espn-5-covington-vs-lawler-1734
DWCS 3.7,8/6/2019,https://www.bestfightodds.com/events/dana-white-s-contender-series-23-1775
UFC Fight Night: Shevchenko vs. Carmouche 2,8/10/2019,https://www.bestfightodds.com/events/ufc-on-espn-14-shevchenko-vs-carmouche-2-1724
DWCS 3.8,8/13/2019,https://www.bestfightodds.com/events/dana-white-s-contender-series-24-1767
UFC 241: Cormier vs. Miocic 2,8/17/2019,https://www.bestfightodds.com/events/ufc-241-cormier-vs-miocic-2-1709
DWCS 3.9,8/20/2019,https://www.bestfightodds.com/events/dana-white-s-contender-series-25-1776
DWCS 3.10,8/27/2019,https://www.bestfightodds.com/events/dana-white-s-contender-series-26-1782
UFC Fight Night: Andrade vs. Zhang,8/31/2019,https://www.bestfightodds.com/events/ufc-on-espn-15-andrade-vs-zhang-1733
UFC 242: Khabib vs. Poirier,9/7/2019,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
UFC Fight Night: Cowboy vs. Gaethje,9/14/2019,https://www.bestfightodds.com/events/ufc-on-espn-16-cowboy-vs-gaethje-1735
UFC Fight Night: Rodriguez vs. Stephens,9/21/2019,https://www.bestfightodds.com/events/ufc-on-espn-17-rodriguez-vs-stephens-1753
UFC Fight Night: Hermansson vs. Cannonier,9/28/2019,https://www.bestfightodds.com/events/ufc-on-espn-18-hermansson-vs-cannonier-1747
UFC 243: Whittaker vs. Adesanya,10/5/2019,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
UFC Fight Night: Joanna vs. Waterson,10/12/2019,https://www.bestfightodds.com/events/ufc-on-espn-19-joanna-vs-waterson-1751
UFC Fight Night: Reyes vs. Weidman,10/18/2019,https://www.bestfightodds.com/events/ufc-on-espn-6-reyes-vs-weidman-1764
UFC Fight Night: Maia vs. Askren,10/26/2019,https://www.bestfightodds.com/events/ufc-on-espn-20-maia-vs-askren-1793
UFC 244: Masvidal vs. Diaz,11/2/2019,https://www.bestfightodds.com/events/ufc-244-masvidal-vs-diaz-1771
UFC Fight Night: Zabit vs. Kattar,11/9/2019,https://www.bestfightodds.com/events/ufc-on-espn-21-zabit-vs-kattar-1795
UFC Fight Night: Blachowicz vs. Jacare,11/16/2019,https://www.bestfightodds.com/events/ufc-on-espn-22-blachowicz-vs-jacare-1755
UFC Fight Night: Overeem vs. Rozenstruik,12/7/2019,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-rozenstruik-1785
UFC 245: Usman vs. Covington,12/14/2019,https://www.bestfightodds.com/events/ufc-245-usman-vs-covington-1787
UFC Fight Night: Edgar vs. The Korean Zombie,12/21/2019,https://www.bestfightodds.com/events/ufc-on-espn-23-edgar-vs-the-korean-zombie-1803
UFC 246: McGregor vs. Cowboy,1/18/2020,https://www.bestfightodds.com/events/ufc-246-mcgregor-vs-cowboy-1839
UFC Fight Night: Blaydes vs. Dos Santos,1/25/2020,https://www.bestfightodds.com/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841
